rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/piano,The Piano,"After a long voyage from Scotland, pianist Ada McGrath (Holly Hunter) and her young daughter, Flora (Anna Paquin), are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart (Sam Neill). Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines (Harvey Keitel), leading to tense, life-altering conflicts.","Powered by Holly Hunter's main performance, The Piano is a truth-seeking romance played in the key of erotic passion.","Art House & International, Drama, Romance",Jane Campion,Jane Campion,92.0,86.0,61.0,48469.0
m/csny_deja_vu,CSNY Déjà Vu,"Recalling the antiwar sentiment of his band Crosby, Stills, Nash and Young's music from the Vietnam era, musician Neil Young (using the pseudonym Bernard Shakey) directed this anti-Iraq War documentary, which follows the group's 2006 ""Freedom of Speech"" tour. The film combines music from Young's controversial ""Living with War"" album with footage of the touring band during the U.S. midterm elections in 2006, while it also examines the ongoing relationship between art and politics.","Half concert doc, half political exposition, CSNY: DeJa Vu straddles the old and new slant on politics in music with diligence and not a little self-promotion.","Documentary, Drama, Musical & Performing Arts, Special Interest","Neil Young, Welton Benjamin Johnson","Neil Young, Mike Cerre, Mike Cerre",68.0,71.0,41.0,488.0
m/1046873-alice_in_wonderland,Alice in Wonderland,"Lewis Carroll's young heroine (Tina Majorino) explores a fantasy land of odd characters (Whoopi Goldberg, Martin Short) and notions.",,"Action & Adventure, Comedy, Kids & Family, Television",Nick Willing,Peter Barnes,33.0,62.0,6.0,24497.0
m/make_out_with_violence_2009,Make Out With Violence,"Patrick and Carol mourn the loss of their friend Wendy until they discover her animated corpse. They search for ways of resurrecting her spirit or, failing that, satisfy their love between the living and the dead.",,Drama,,"Eric Lehning, Cody DeVos",64.0,46.0,14.0,180.0
m/the_treasure_2016,The Treasure,Costi and his neighbor search for a buried treasure in a garden.,The Treasure digs deep into Romanian history and yields a rich comedy full of deadpan laughs and winsome observations.,Comedy,Corneliu Porumboiu,Corneliu Porumboiu,95.0,42.0,37.0,530.0
m/1016832-project_x,Project X,"As punishment for a minor offense, the Air Force assigns pilot Jimmy Garrett (Matthew Broderick) to watch over a group of chimpanzees used for military experiments. Jimmy bonds with Virgil, a chimp capable of communicating with sign language. But when he witnesses the military's plan to kill the animals with radiation, Jimmy enlists the help of Teri MacDonald (Helen Hunt), the graduate student responsible for teaching sign language to Virgil, to free the chimps.",,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Jonathan Kaplan,"Stanley Weiser, Walter F. Parkes, Stanley G. Weiser, Lawrence Lasker",75.0,55.0,20.0,8770.0
m/citizen_koch_2013,Citizen Koch,Filmmakers Carl Deal and Tia Lessin examine the struggle between money and democracy.,,"Documentary, Special Interest","Carl Deal, Tia Lessin","Carl Deal, Tia Lessin",54.0,55.0,35.0,417.0
m/playtime,Playtime,"Clumsy Monsieur Hulot (Jacques Tati) finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet with a business contact but soon becomes lost. His roundabout journey parallels that of an American tourist (Barbara Dennek), and as they weave through the inventive urban environment, they intermittently meet, developing an interest in one another. They eventually get together at a chaotic restaurant, along with several other quirky characters.","A remarkable achievement, Playtime's packs every scene with sight gags and characters that both celebrates and satirizes the urbanization of modern life.","Art House & International, Comedy",Jacques Tati,"Art Buchwald, Jacques LaGrange, Jacques Langrange",98.0,90.0,49.0,7448.0
m/between_us_2012,Between Us,"A New York couple (Julia Stiles, Taye Diggs) and their Midwestern friends (Melissa George, David Harbour) find that drastic changes have occurred in their respective lives since they last met.",,"Comedy, Drama",Dan Mirvish,"Joe Hortua, Dan Mirvish",50.0,76.0,10.0,44.0
m/she_hate_me,She Hate Me,"Fired from his corporate job, a man (Anthony Mackie) agrees to impregnate his ex-fiancee (Kerry Washington) and a slew of lesbians for money.",She Hate Me can't decide if it wants to be a commentary on corporate greed or a sex farce.,"Comedy, Drama",Spike Lee,"Michael Genet, Spike Lee",19.0,60.0,103.0,7955.0
m/mr_wonderful,Mr. Wonderful,"Gus (Matt Dillon) is a New Yorker with an entrepreneurial spirit. He'd like to quit his job and and open a bowling alley, but financial obligations from his ex-marriage are standing in his way. Gus owes alimony to Leonora (Annabella Sciorra), but if she remarries, he'll be flush with cash. So he embarks on a scheme to find her a husband. Leonora is in a relationship with Tom (William Hurt), but like Gus, she's a romantic -- and soon Gus and Leonora find they may still have a spark left.",,"Comedy, Drama, Romance",Anthony Minghella,"Anthony Minghella, Vicki Polon",52.0,43.0,21.0,3369.0
m/bride_of_chucky,Bride of Chucky,"After being cut apart by the police, killer doll Chucky (Brad Dourif) is resurrected by Tiffany (Jennifer Tilly), an ex-girlfriend of the serial murderer whose soul is inside the toy. Following an argument, Chucky kills Tiffany and transfers her soul into a bride doll. To find the magical amulet that can restore them both to human form, Chucky and Tiffany arrange to be driven to New Jersey by Jesse (Nick Stabile) and Jade (Katherine Heigl), who are unaware that their cargo is alive.","Bride of Chucky is devoid of any fright and the franchise has become tiresomely self-parodic, although horror fans may find some pleasure in this fourth entry's camp factor.","Action & Adventure, Horror",Ronny Yu,Don Mancini,46.0,46.0,37.0,364274.0
m/easter_parade,Easter Parade,"In this lavish musical, Broadway star Don Hewes' (Fred Astaire) dancing partner (Ann Miller) goes solo, and Don declares that he can make a hit performer out of the next dancer he sees. This turns out to be the inexperienced Hannah (Judy Garland), who bristles as Don tries to make her into his old partner. But as he realizes that he is falling in love with Hannah, Don knows that he must let her grow into her own kind of dancer if he wants her to reach her full potential.",,"Classics, Musical & Performing Arts, Romance",Charles Walters,"Albert Hackett, Frances Goodrich, Sidney Sheldon, Guy Bolton",91.0,86.0,23.0,9323.0
m/hearing_is_believing,Hearing Is Believing,Filmmaker Lorenzo DeStefano examines the life of young musician and composer Rachel Flowers.,,Documentary,Lorenzo DeStefano,Lorenzo DeStefano,60.0,92.0,5.0,34.0
m/the_one_i_love,The One I Love,"A couple (Mark Duplass, Elisabeth Moss) whose marriage is crumbling have a surreal experience during a weekend getaway at a house recommended by their therapist (Ted Danson).","The One I Love doesn't take its intriguing premise quite as far as it could, but it still adds up to an ambitious, well-acted look at love and marriage.","Comedy, Drama",Charlie McDowell,Justin Lader,82.0,76.0,93.0,10135.0
m/miss_meadows,Miss Meadows,A prim and proper vigilante's (Katie Holmes) mission to avenge wrongs gets complicated when she begins a relationship with the town sheriff.,,Drama,Karen Leigh Hopkins,Karen Leigh Hopkins,25.0,35.0,20.0,1635.0
m/girl-27,Girl 27,"Patricia Douglas discusses the 1937 MGM scandal in which she and 100 other underage girls were tricked into attending a stag party, where she was raped.",,Documentary,David Stenn,David Stenn,86.0,69.0,7.0,901.0
m/hellion_2012,Hellion,"After his younger brother is placed in a relative's care, a juvenile delinquent (Josh Wiggins) becomes increasingly obsessed with winning a local motocross championship and getting his sibling back.",,Drama,Kat Candler,Kat Candler,60.0,46.0,50.0,2570.0
m/house_party,House Party,"Play's parents are out of town, and he's planning the house party to end all house parties. His best friend, Kid, wants to go more than anything, knowing Sydney (Tisha Campbell-Martin), the hottest girl in school, is sure to be there. But when Kid gets into a fight at school, his father grounds him. Still determined to go, Kid sneaks out of the house and faces one calamity after another as he makes his way to Play's house and the party of the school year.","House Party is a light, entertaining teen comedy with an infectious energy.","Comedy, Musical & Performing Arts",Reginald Hudlin,Reginald Hudlin,93.0,82.0,28.0,38568.0
m/hermans_house,Herman's House,"Filmmaker Angad Bhalla captures the creative journey of Herman Wallace, a prisoner confined to a solitary cell, as he draws his dream house.",,"Documentary, Special Interest",Angad Bhalla,Angad Bhalla,88.0,72.0,16.0,348.0
m/divine_secrets_of_the_yaya_sisterhood,Divine Secrets of the Ya-Ya Sisterhood,"A classic Southern tale of hilarious sadness set in a sleepy Louisiana parish. A group of lifelong friends stage a rather unorthodox intervention to help a young playwright unravel the truth about her complicated, eccentric mother, find forgiveness and acceptance, and let go of her painful past.","Divine Secrets of the Ya-Ya Sisterhood is more melodramatic than emotionally truthful, and uneven in its mixture of time periods, actresses, laughter and tears.","Comedy, Drama",Callie Khouri,"Callie Khouri, Mark Andrus",45.0,65.0,146.0,66472.0
m/ny_export_opus_jazz,Ny Export: Opus Jazz,Young and restless dancers take to the streets.,,"Documentary, Drama, Musical & Performing Arts, Special Interest","Henry Joost, Jody Lee Lipes, Matt Wolf, Anna Farrelly, Anna Farrell","Ellen Bar, Sean Suozzi, Jody Lee Lipes",80.0,,5.0,
m/the_devil_bat,The Devil Bat,"Dr. Paul Carruthers (Bela Lugosi) is frustrated because he thinks his employers, Mary Heath (Suzanne Kaaren) and Henry Morton (Guy Usher), have cheated him out of the company's profits. He decides to get revenge by altering bats to grow twice their normal size and training them to attack when they smell a perfume of his own making. He mixes the perfume into a lotion, which he offers as a gift to Mary and Henry. When they turn up dead, a newspaper reporter (Dave O'Brien) decides to investigate.",,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy","Edward D. Wood Jr., Jean Yarbrough","Edward D. Wood Jr., John T. Neville, Alex Gordon",58.0,31.0,12.0,2052.0
m/ip_man_4_the_finale,Ip Man 4: The Finale,Ip Man and his son encounter racial discrimination after traveling to the United States to seek a better life.,"Packed with action and featuring some of Donnie Yen's finest fighting, Ip Man 4: The Finale serves as a satisfying rebound -- and fitting finale -- for the franchise.","Action & Adventure, Drama",Wilson Yip,,87.0,95.0,31.0,826.0
m/big_wednesday,Big Wednesday,"Three 1960s California surfers (Jan-Michael Vincent, William Katt, Gary Busey) fool around, drift apart and reunite years later to ride epic waves.",,"Comedy, Drama",John Milius,"John Milius, Dennis Aaberg",67.0,87.0,12.0,5897.0
m/the_day_he_arrives_2011,The Day He Arrives,A filmmaker (Yu Jun-sang) wanders aimlessly around Seoul when the friend he was supposed to meet does not show up.,,"Comedy, Drama",Hong Sang-soo,Hong Sang-soo,90.0,68.0,21.0,475.0
m/1193780-botched,Botched,"Trapped in a skyscraper, a professional thief (Stephen Dorff) deals with killers, hostages and a double-crossing psycho.",,"Comedy, Horror, Mystery & Suspense",Kit Ryan,"Derek Boyle, Eamon Friel, Raymond Friel",25.0,44.0,8.0,2355.0
m/aquaslash,Aquaslash,Terror awaits a group of high school graduates when a psychopath uses the unstoppable speed and turns of a water slide to his murderous advantage.,,Horror,Renaud Gauthier,Renaud Gauthier,29.0,27.0,7.0,11.0
m/cupcakes_2015,Cupcakes,Best friends have no idea they will be thrown into the spotlight when they create their own song for the Universong contest.,,Comedy,Eytan Fox,"Eytan Fox, Eli Bijaoui",78.0,62.0,23.0,228.0
m/thale_2012,Thale,"Crime-scene cleaners (Erlend Nervold, Jon Sigve Skard) discover an unstoppable, legendary creature (Silje Reinåmo) at a remote cabin.",,"Mystery & Suspense, Science Fiction & Fantasy",Aleksander L. Nordaas,Aleksander L. Nordaas,55.0,33.0,11.0,1417.0
m/wilderness_survival_for_girls,Wilderness Survival For Girls,"Ruth (Jeanette Brox), Deb (Megan Henning) and Kate (Ali Humiston) are three teens enjoying a weekend getaway at a remote mountain cabin. Their fun is interrupted by the intrusion of a stranger (James Morrison), who may or may not be responsible for an unsolved murder nearby.",,"Drama, Mystery & Suspense",Kim Roberts,"Eli B. Despres, Kim Roberts",50.0,37.0,6.0,559.0
m/1007141-fatal_attraction,Fatal Attraction,"For Dan Gallagher (Michael Douglas), life is good. He is on the rise at his New York law firm, is happily married to his wife, Beth (Anne Archer), and has a loving daughter. But, after a casual fling with a sultry book editor named Alex (Glenn Close), everything changes. Jilted by Dan, Alex becomes unstable, her behavior escalating from aggressive pursuit to obsessive stalking. Dan realizes that his main problem is not hiding his affair, but rather saving himself and his family.","A potboiler in the finest sense, Fatal Attraction is a sultry, juicy thriller that's hard to look away from once it gets going.","Drama, Mystery & Suspense",Adrian Lyne,"James Dearden, Nicholas Meyer",76.0,72.0,54.0,53027.0
m/better_days_2019,Better Days,A bullied high school student and a small-time criminal become the prime suspects in the murder of a teenage girl.,,Drama,Kwok Cheung Tsang,Li Cheng Yuan,100.0,97.0,15.0,131.0
m/planeat,Planeat,This documentary film discusses whether it is time to re-examine the love affair with meat and dairy.,,"Documentary, Sports & Fitness",Shelley Lee Davis Or Shlomi,"T. Colin Campell, Gideon Eshel, Caldwell Esselstyn Jr.",40.0,71.0,5.0,114.0
m/burn_after_reading,Burn After Reading,"When a disc containing memoirs of a former CIA analyst (John Malkovich) falls into the hands of Linda Litzke (Frances McDormand) and Chad Feldheimer (Brad Pitt), the two gym employees see a chance to make enough money for her to have life-changing cosmetic surgery. Predictably, events whirl out of control for the duo doofuses and those in their orbit.","With Burn After Reading, the Coen Brothers have crafted another clever comedy/thriller with an outlandish plot and memorable characters.","Comedy, Drama","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",78.0,65.0,246.0,187859.0
m/lords_of_flatbush,The Lords of Flatbush,"Two members (Perry King, Sylvester Stallone) of a social club in 1950s Brooklyn have more interest in romance than in rumbles.",,"Classics, Comedy, Drama, Romance","Martin Davidson, Stephen Verona, Stephen F. Verona","Stephen Verona, Gayle Gleckler, Martin Davidson, Stephen F. Verona, Sylvester Stallone",64.0,42.0,14.0,3288.0
m/air_force,Air Force,"On December 6, 1941, the crew of the Mary-Ann (including Arthur Kennedy, George Tobias, John Garfield) heads from California to Hawaii in a routine training flight. On the fateful trip, they witness the attack on Pearl Harbor and are unable to help in their unarmed B-17 bomber. With the Japanese strike spurring the United States into World War II, the crew is reassigned to aid in the defense of the Philippines and endures constant attacks from enemy combatants.",,"Action & Adventure, Classics, Drama",Howard Hawks,Dudley Nichols,80.0,70.0,10.0,391.0
m/goodbye_to_all_that,Goodbye to All That,"After his wife unexpectedly divorces him, an amiable but clueless man (Paul Schneider) embarks on a series of one-night stands with former sweethearts and random strangers.",,"Comedy, Drama",Angus MacLachlan,Angus MacLachlan,62.0,31.0,21.0,397.0
m/bob_and_carol_and_ted_and_alice,Bob & Carol & Ted & Alice,"After returning to Los Angeles from a group therapy session, documentary filmmaker Bob Sanders (Robert Culp) and his wife, Carol (Natalie Wood), find themselves becoming vigilante couples counselors, offering unsolicited advice to their best friends, Ted (Elliott Gould) and Alice Henderson (Dyan Cannon). Not wanting to be rude, the Hendersons play along, but some latent sexual tension among the four soon comes bubbling to the surface, and long-buried desires don't stay buried for long.",,"Classics, Comedy",Paul Mazursky,"Paul Mazursky, Larry Tucker",83.0,65.0,18.0,1684.0
m/1005512-death_in_venice,Death in Venice,"Composer Gustave Aschenbach (Dirk Bogarde) travels to a Venice resort to escape personal and artistic stress. However, peace eludes him as he develops a disturbing attraction to an adolescent boy, Tadzio (Björn Andresen). However, their lives are both threatened with a sudden outbreak of cholera.","Luchino Visconti's Death in Venice is one of his emptier meditations on beauty, but fans of the director will find his knack for sumptuous visuals remains intact.",Drama,Luchino Visconti,"Luchino Visconti, Nicola Badalucco, Niccola Badalucco",71.0,81.0,24.0,6409.0
m/1213735-death_in_love,Death in Love,Two sons struggle to deal with their mother's affair with the Nazi doctor who experimented on them.,"Death in Love has the depth of its convictions, but not even the game efforts of a talented cast are enough to overcome this drama's stilted story and unlikable characters.",Drama,Boaz Yakin,Boaz Yakin,45.0,33.0,20.0,10946.0
m/election,Election,"Jim McAllister (Matthew Broderick), a well-liked high school government teacher, can't help but notice that successful student Tracy Flick (Reese Witherspoon) uses less than ethical tactics to get what she wants. When Tracy runs for school president, Jim feels that she will be a poor influence on the student body and convinces Paul, a dim-witted but popular student athlete, to run against Tracy. When she becomes aware of Jim's secret involvement in the race, a bitter feud is sparked.",Election successfully combines dark humor and intelligent writing in this very witty and enjoyable film.,Comedy,Alexander Payne,"Alexander Payne, Jim Taylor (III)",92.0,79.0,113.0,61797.0
m/zandalee,Zandalee,An artist (Nicolas Cage) drifts to New Orleans and explores the theme of lust with his poet buddy's (Judge Reinhold) wife (Erika Anderson).,,Drama,Sam Pillsbury,Mari Kornhauser,33.0,29.0,6.0,1178.0
m/the_good_catholic,The Good Catholic,"Daniel is an idealistic and dedicated priest who loves his work more than anything else, until a chance meeting with a woman at confession stirs up emotions that make him question his true calling.",,"Comedy, Drama, Romance",Paul Shoulberg,Paul Shoulberg,46.0,81.0,13.0,216.0
m/live_and_let_die,Live and Let Die,"When Bond (Roger Moore) investigates the murders of three fellow agents, he finds himself a target, evading vicious assassins as he closes in on powerful Kananga (Yaphet Kotto). Known on the streets as Mr. Big, Kananga is coordinating a global threat, using tons of self-produced heroin. As Bond tries to unravel the mastermind's plan, he meets Solitaire (Jane Seymour), a beautiful tarot-card reader, whose magic is crucial to the crime lord.","While not one of the highest-rated Bond films, Live and Let Die finds Roger Moore adding his stamp to the series with flashes of style and an improved sense of humor.","Action & Adventure, Mystery & Suspense",Guy Hamilton,Tom Mankiewicz,66.0,64.0,50.0,64787.0
m/stroker_ace,Stroker Ace,"Confident NASCAR driver Stroker Ace (Burt Reynolds) runs into problems when a confrontation with his commercial sponsor causes him to lose his contract. Clyde Torkel (Ned Beatty), the owner of a fried-chicken chain, immediately asks Stroker to be the face of his company. After some pushing by Clyde and his marketing executive, Pembrook Feeney (Loni Anderson), Stroker signs on without even reading his obligations. He then finds himself legally bound to a horrible contract, with no end in sight.",,"Action & Adventure, Comedy",Hal Needham,"Hal Needham, Hugh Wilson, David E. Peckinpah",20.0,51.0,15.0,7146.0
m/1144029-appleseed,Appurushîdo (Appleseed),"Deunan Knute (Ai Kobayashi) is a female warrior who survives the Global War. When she meets her old love, Briareos Hecatonchires (Jûrôta Kosugi), she finds that he has become a cyborg due to his injuries from the war. Deunan soon learns that a new race of cyborgs called Bioroids have been created in the peaceful city of Olympus. However, Deunan also discovers that something is sabotaging the Bioroids, causing their lives to be very short, so she dedicates herself to finding out the cause.","While visually arresting, Appleseed's narrative and dialogue pondering existentialism is ponderous, awkward, and clumsy.","Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Shinji Aramaki,"Haruka Handa, Tsutomu Kamishiro",25.0,74.0,32.0,20921.0
m/breakfast_with_scot,Breakfast with Scot,"Gay partners (Tom Cavanagh, Ben Shenkman) become the temporary guardians of a flamboyant orphan (Noah Bernett).","Though Breakfast with Scot is a well-intentioned movie with some charming performances, it suffers from sitcom humor and predictable setups.","Comedy, Drama",Laurie Lynd,Sean Reycraft,54.0,64.0,28.0,2039.0
m/brad_paisleys_comedy_rodeo,Brad Paisley's Comedy Rodeo,,,Comedy,Jay Chapman,"Nate Bargatze, David Wild",60.0,,5.0,
m/training_day,Training Day,"Police drama about a veteran officer who escorts a rookie on his first day with the LAPD's tough inner-city narcotics unit. ""Training Day"" is a blistering action drama that asks the audience to decide what is necessary, what is heroic and what crosses the line in the harrowing gray zone of fighting urban crime. Does law-abiding law enforcement come at the expense of justice and public safety? If so, do we demand safe streets at any cost?","The ending may be less than satisfying, but Denzel Washington reminds us why he's such a great actor in this taut and brutal police drama.","Action & Adventure, Drama, Mystery & Suspense",Antoine Fuqua,"David Ayer, Antoine Fuqua",73.0,89.0,160.0,300918.0
m/master_and_commander_the_far_side_of_the_world,Master and Commander: The Far Side of the World,"In 1805, aboard the H.M.S. Surprise, the brash Captain Jack Aubrey (Russell Crowe) and his trusted friend, the ship's scholarly surgeon, Stephen Maturin (Paul Bettany), are ordered to hunt down and capture a powerful French vessel off the South American coast. Though Napoleon is winning the war and the men and their crew face an onslaught of obstacles, including their own internal battles, ""Lucky Jack"" is determined that nothing will stop the Surprise from completing its mission.",Russell Crowe's rough charm is put to good use in this masterful adaptation of Patrick O'Brian's novel.,"Action & Adventure, Drama",Peter Weir,"Peter Weir, John Collee",85.0,80.0,217.0,141077.0
m/stuart_little,Stuart Little,"When the Littles go to an orphanage to adopt a new family member, a charming young mouse named Stuart is chosen. While George is initially unwelcoming to his new brother, the family cat, Snowbell, is even less enthusiastic about having a mouse as his ""master"" and plots to get rid of him. Against these difficulties, Stuart resolves to face them with as much pluck, love and courage as he can muster. In doing so, he shows his beloved new family that great things can truly come in small packages.",Critics say Stuart Little is charming with kids and adults for its humor and visual effects.,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",Rob Minkoff,"Gregory J. Brooker, M. Night Shyamalan, Greg Brooker",67.0,41.0,97.0,495303.0
m/dark_city,Dark City,"John Murdoch (Rufus Sewell) awakens alone in a strange hotel to find that he is wanted for a series of brutal murders. The problem is that he can't remember whether he committed the murders or not. For one brief moment, he is convinced that he has gone completely mad. Murdoch seeks to unravel the twisted riddle of his identity. As he edges closer to solving the mystery, he stumbles upon a fiendish underworld controlled by a group of ominous beings collectively known as the Strangers.","Stylishly gloomy, Dark City offers a polarizing whirl of arresting visuals and noirish action.","Horror, Mystery & Suspense, Science Fiction & Fantasy",Alex Proyas,Alex Proyas,76.0,85.0,85.0,153499.0
m/the_freshman,The Freshman (College Days),"In hopes of making some friends, Harold Lamb (Harold Lloyd) attends college at Tate University. But when the students notice his eccentric personality, he becomes the joke of the school. His fellow students convince Harold that he is popular but laugh at him behind his back, telling him that he is a player on the football team when he is actually the waterboy. Only his friend Peggy (Jobyna Ralston) knows that, to be happy, Harold must accept himself for who he really is.",,"Classics, Comedy","Fred Newmeyer, Sam Taylor","Ted Wilde, Tim Whelan Sr., Sam Taylor, Lex Neal, Jean Havez, John Grey, Clyde Bruckman",94.0,79.0,16.0,312.0
m/something_new,Something New,"Career-minded Kenya McQueen is set up on a blind date with architect Brian Kelly, but backs out when she realizes that he is white. Impressed with his work on a friend's mansion, McQueen hires Kelly to design her new garden -- and he sweeps her off her feet. But, after her friends introduce her to executive Mark Harper, McQueen must choose between the type of man she always dreamed she wanted and giving in to life's little surprises.",Something New tackles serious questions about race and interracial relationships with genuine appeal and an alluring romance that develops as naturally as the plot.,"Comedy, Drama, Romance",Sanaa Hamri,Kriss Turner,61.0,72.0,109.0,101237.0
m/mfa,M.F.A.,"The accidental death of her rapist sets an art student on a course for justice, fueling the inspiration for her thesis exhibition.",,"Drama, Mystery & Suspense",Natalia Leite,Leah McKendrick,79.0,87.0,24.0,607.0
m/paranormal_activity_the_marked_ones,Paranormal Activity: The Marked Ones,"Teenagers Jesse (Andrew Jacobs) and Hector (Jorge Diaz) look forward to a carefree summer, but the murder of a neighbor leads to a terrifying encounter with the supernatural. After breaking into the neighbor's apartment, Jesse and Hector find a collection of ritualistic art and other bizarre items. Jesse takes a journal of occult writings and soon after finds a strange mark on his arm. His subsequent erratic behavior leads Jesse's friends and family to the realization that he is possessed.","A change of setting breathes some new life into the franchise, but Paranormal Activity: The Marked Ones fails to provide enough consistent thrills to justify a fifth film in the series.",Horror,Christopher Landon,Christopher Landon,39.0,34.0,82.0,35459.0
m/drive-angry,Drive Angry,"Thrown into hell for his crimes, brutal felon John Milton (Nicolas Cage) escapes from the fiery pit after cultists murder his daughter and take her baby. Intent on rescuing the child, Milton joins forces with a waitress, who gives him her ex-lover's fire-red muscle car. In it, the two pursue the cult leader, who plans to sacrifice the infant and unleash hell on Earth. However, the hunters become the hunted when Satan sends his merciless henchman (William Fichtner) to drag Milton back.","It may deliver the over-the-top action pieces, but Drive Angry prefers to work safely within grindhouse formula than do something truly unique.","Action & Adventure, Mystery & Suspense",Patrick Lussier,"Patrick Lussier, Todd Farmer",47.0,37.0,123.0,40294.0
m/e_demon_2018,E-Demon,"In an attempt to reconnect, former college friends, Kendra, AJ, Mar and Dwayne, get together for a night of stories, pranks and drinking via webcam. As the evening progresses, they unknowingly release a deviously clever demon that has been trapped for centuries in Salem, Mass. Since the demon can possess multiple people at once, knowing who to trust will be the key to surviving the night.",,Drama,Jeremy Wechter,Jeremy Wechter,33.0,78.0,6.0,22.0
m/october_baby_2011,October Baby,A beautiful and naive college freshman sets out on a road trip with her misfit friends to discover herself after she learns that her entire life is a lie.,,Drama,"Jon Erwin, Andrew Erwin","Jon Erwin, Theresa Preston",25.0,79.0,40.0,32462.0
m/10012133-veer,Veer,"A Pindari prince (Salman Khan) goes to England to study military tactics so that he can avenge his people, but while there, he falls in love.",,"Art House & International, Classics, Drama",Anil Sharma,"Salman Khan, Shailesh Verma, Shaktimaan Talwar",40.0,47.0,5.0,1151.0
m/wu_xia,Wu xia (Dragon),A martial arts master with a dark past wants to start a new and tranquil life. His tranquility is wrecked when a determined detective and his former master track him down.,,"Action & Adventure, Art House & International, Drama",Peter Chan,"Joyce Chan, Aubrey Lam",85.0,74.0,27.0,8701.0
m/thomas_crown_affair_the,The Thomas Crown Affair,"Bored billionaire Thomas Crown (Pierce Brosnan) decides to entertain himself by stealing a Monet from a reputed museum. When Catherine Banning (Rene Russo), an investigator for the museum's insurance company, takes an interest in Crown, a complicated back-and-forth game with romantic undertones begins between them. In an attempt to find out where Banning's loyalties lie, Crown returns the painting and essentially turns himself in, hoping that Banning's feelings for him will lead to an escape.","Sleek, stylish, and painlessly diverting, The Thomas Crown Affair is a remake of uncommon charm.","Action & Adventure, Drama, Mystery & Suspense, Romance",John McTiernan,"Leslie Dixon, Kurt Wimmer",70.0,77.0,102.0,76331.0
m/last_airbender,The Last Airbender,"The four nations of Air, Water, Earth and Fire lived in harmony until the Fire Nation declared war. A century later, there is still no end in sight to the destruction, then, an Avatar named Aang (Noah Ringer) discovers that he has the power to control the four elements. He joins forces with Katara (Nicola Peltz), a Waterbender, and her brother, Sokka, to restore balance and harmony to their world.","The Last Airbender squanders its popular source material with incomprehensible plotting, horrible acting, and detached joyless direction.","Action & Adventure, Kids & Family, Science Fiction & Fantasy",M. Night Shyamalan,M. Night Shyamalan,5.0,30.0,191.0,322458.0
m/ball_of_fire,Ball of Fire,"Hoping to update his chapter on modern slang, encyclopedia writer Professor Bertram Potts (Gary Cooper) ventures into a chic nightclub. Inside, he meets the snarky burlesque performer ""Sugarpuss"" O'Shea (Barbara Stanwyck). Fascinated by her command of popular jargon, Potts invites her to stay with him. But, unknown to Potts, she is the fiancée of a mobster (Dana Andrews) and wanted by the police. In the ensuing mayhem, Potts must stay on his toes or be swallowed up by bigger fish.","A splendidly funny twist on the story of Snow White, Ball of Fire boasts a pair of perfect leads in Gary Cooper and Barbara Stanwyck.","Comedy, Drama",Howard Hawks,"Charles Brackett, Billy Wilder",100.0,90.0,27.0,3333.0
m/killing_bono_2010,Killing Bono,"Two brothers (Ben Barnes, Robert Sheehan) try desperately to become rock stars, but can only watch while their old classmates, the members of U2, become one of the world's biggest bands.",,"Art House & International, Comedy",Nick Hamm,"Dick Clement, Ian La Frenais, Simon Maxwell",56.0,47.0,43.0,5190.0
m/kill_order,Kill Order,Uncanny abilities awaken within a troubled high school student when a fully-armed tactical team attempts to abduct him from his classroom.,,"Action & Adventure, Science Fiction & Fantasy",James Mark,James Mark,25.0,45.0,8.0,40.0
m/by_hook_or_by_crook_2002,By Hook or by Crook,"""By Hook or Crook"" is a buddy film that chronicles three weeks in the life of a handsome, gender-bending, small-town butch with a nagging messiah-complex. Emotionally defeated since the death of her father, Shy heads to the big city to sink herself into a life of crime. She is quickly distracted by Valentine, a deliriously expressive, wise-acre adoptee on a misguided search for her birth mother. The two freaky grifters join forces and learn the true meaning of poise under pressure.",,"Comedy, Drama, Romance, Gay & Lesbian, Sports & Fitness","Harry Dodge, Silas Howard, Harriet ""Harry"" Dodge","Silas Howard, Harriet ""Harry"" Dodge",64.0,77.0,14.0,1008.0
m/beanpole,Beanpole (Dylda),"During World War II in Leningrad, the siege of the city is finally over, but life and death struggles continue in the wreckage that remains. Two young women search for meaning and hope during their struggle to rebuild their lives amongst the ruins.","Filmed with impressive skill and brought to life by unforgettable performances, Beanpole takes a heartbreakingly empathetic look at lives shattered by war.",Drama,Kantemir Balagov,"Kantemir Balagov, Aleksandr Terekhov",91.0,82.0,92.0,103.0
